fire_id,fire_name,fire_size,STAT_CAUSE_DESCR,latitude,longitude,state_code,disc_clean_date,cont_clean_date,Vegitation
0,,10,Missing/Undefined,18.105072,-66.753044,PR,2/11/2007,,12
1,,3,Arson,35.03832998,-87.60999999,TN,12/11/2006,,15
2,,60,Arson,34.9478,-88.7225,MS,2/29/2004,,16
3,WNA  1,1,Debris Burning,39.6414,-119.3083,NV,6/6/2005,6/6/2005,0
4,,2,Miscellaneous,30.7006,-90.5914,LA,9/22/1999,,12
5,,1,Debris Burning,32.0639,-82.4178,GA,3/22/1999,,12
6,,5.2,Debris Burning,31.31697802,-83.39364888,GA,1/10/2009,,12
7,,1,Campfire,30.90472001,-93.55749999,TX,11/12/2005,,12
8,,1,Arson,35.90031,-92.06118,AR,8/8/2007,,15
9,CRAZY,1,Miscellaneous,48.8394,-99.7185,ND,4/19/2004,4/19/2004,15
10,,8.3,Debris Burning,30.84533929,-83.12798679,GA,3/6/2010,,12
11,SWR-20150212-008,37,Arson,31.195108,-88.150651,AL,2/12/2015,2/12/2015,12
12,,1,Debris Burning,33.85573991,-85.31107517,GA,10/13/2003,,16
13,,1,Fireworks,31.76738,-93.14687,LA,7/6/2014,,12
14,,3,Missing/Undefined,32.775,-80.65833333,SC,5/12/1993,5/12/1993,12
15,ROLSTON,1,Missing/Undefined,33.98860931,-103.1352768,NM,2/12/1996,,16
16,TREE HOUSE LIGHTER,1.5,Children,36.0833,-78.9167,NC,4/16/2001,,0
17,,1,Miscellaneous,36.1647,-91.8397,AR,8/30/2000,,0
18,,1,Missing/Undefined,35.73848,-79.49695,NC,2/22/2007,,15
19,,10,Arson,31.5667,-90.5089,MS,7/14/2000,,12
20,,2,Missing/Undefined,18.130913,-66.472954,PR,2/28/2007,,12
21,TELEPHONE FIRE,5,Debris Burning,33.779575,-96.025915,TX,12/18/2010,,16
22,,2,Miscellaneous,40.84338552,-73.31641886,NY,4/18/2004,4/18/2004,15
23,,2,Debris Burning,33.4583,-80.4464,SC,7/17/2000,,16
24,,40,Arson,31.43518075,-88.99948898,MS,4/3/1999,4/3/1999,12
25,,5,Missing/Undefined,17.98888,-67.04792,PR,1/7/2011,,12
26,STO3573155,2,Debris Burning,35.7189,-92.335,AR,1/19/2014,1/19/2014,15
27,,1.5,Missing/Undefined,33.9375,-81.30416667,SC,4/1/1995,4/1/1995,16
28,,1,Miscellaneous,42.73193374,-77.90597641,NY,4/3/2010,,4
29,,20,Arson,31.1222,-88.0994,AL,6/4/2000,,12
30,,1,Debris Burning,42.139938,-77.019666,NY,4/23/1994,,9
31,AXE RONDEAU,1.2,Debris Burning,48.833,-99.7836,ND,4/7/2007,4/7/2007,15
32,,0.75,Miscellaneous,34.8928,-84.7615,GA,1/24/1994,1/24/1994,16
33,CR 42600,2,Debris Burning,33.669209,-95.490213,TX,9/6/2011,,16
34,,2,Arson,31.01769001,-90.40238359,MS,9/21/1997,9/21/1997,12
35,FY2001-EARLY-021,30.18,Debris Burning,31.259,-84.8956,GA,10/19/2000,10/19/2000,12
36,LUCKY,1420,Lightning,33.2418,-104.9122,NM,7/2/1994,7/3/1994,16
37,,0.7,Arson,28.42583,-81.39111,FL,3/1/2009,,12
38,,10,Missing/Undefined,30.57305999,-85.82222,FL,5/7/2007,,12
39,,11,Missing/Undefined,36.32809825,-94.90830244,OK,2/8/1993,2/8/1993,0
40,MARBLE HEAD,5,Lightning,40.8347,-112.8064,UT,8/14/2006,8/15/2006,15
41,HWY 438 W,10,Debris Burning,35.756667,-87.65,TN,3/16/2007,3/16/2007,15
42,,1.05,Debris Burning,32.87732378,-82.72099158,GA,1/13/2007,,12
43,,1,Debris Burning,30.33,-82.97,FL,3/2/1998,,12
44,,20,Debris Burning,32.56499998,-96.1751,TX,9/21/2005,,12
45,HIGHWAY 30 FIRE,2,Debris Burning,37.34421,-83.92352,KY,3/17/2011,3/17/2011,0
46,,3,Debris Burning,35.6431,-92.5239,AR,1/11/2000,,15
47,,4.41,Equipment Use,32.1666,-82.0543,GA,5/5/1992,5/5/1992,12
48,LAUREL BRANCH,55,Debris Burning,37.46458863,-81.49122444,WV,4/23/2014,4/23/2014,0
49,2015-98,1,Miscellaneous,32.232007,-94.478323,TX,8/10/2015,,12
50,,90,Missing/Undefined,34.90639854,-94.86450192,OK,2/20/1992,2/20/1992,16
51,,2,Debris Burning,47.21028723,-93.47281993,MN,5/2/2009,,15
52,,1,Missing/Undefined,36.28459942,-94.85479719,OK,4/2/1994,4/2/1994,0
53,,10,Debris Burning,29.60577,-99.7186,TX,2/21/2008,,12
54,AGERT,3.2,Equipment Use,43.85158,-108.19147,WY,7/30/2010,7/30/2010,9
55,,1,Arson,32.38856,-94.68856,TX,10/16/1999,,12
56,LED BETTER BARN,15.3,Equipment Use,36.5865,-96.32322,OK,12/5/2015,12/6/2015,0
57,CALDERWOOD,270,Arson,35.47333333,-84.45,TN,10/31/1999,11/1/1999,15
58,,1.55,Miscellaneous,42.40379312,-73.41862982,NY,4/19/2004,4/19/2004,9
59,DEVIL'S,57,Arson,36.81666667,-82.65166667,VA,4/6/1995,4/8/1995,0
60,,10,Missing/Undefined,34.225,-80.075,SC,3/3/1996,3/3/1996,16
61,,2,Arson,30.88881532,-89.4065076,MS,5/6/1996,5/6/1996,12
62,,3,Missing/Undefined,18.01667,-66.451408,PR,3/25/2005,,12
63,,5,Equipment Use,29.52,-83.26,FL,9/8/1995,,12
64,SPRING GULCH,1.5,Lightning,39.205,-105.1883333,CO,7/31/1996,8/1/1996,0
